,termid,regNumb,Class,total_samples,start_time,end_time,Initial_level,End_level,Refuel_sum,total_dist,ig_perc,Fuel_cons,Newf_Fuel_cons,Total_time,lph,Median_lph,lp_100,Median_lp100
0,1204000480,EXNP-2204,low_movement,84,2023-07-15 22:03:53,2023-07-16 05:08:36,610.5,568.9,0.0,84.46895292468908,0.14225169720990463,41.60000000000002,41.60000000000002,424.71666666666664,5.876859082525609,24.88197214411822,49248.8642982112,26607.78888115968
1,1204000480,EXNP-2204,low_movement,142,2023-07-16 05:09:37,2023-07-16 13:39:23,586.4,375.0,0.0,90.999625898231,0.2867817404639932,211.39999999999998,211.39999999999998,509.7666666666667,24.88197214411822,24.88197214411822,232308.64733050458,26607.78888115968
2,1204000480,EXNP-2204,low_movement,29,2023-07-16 13:40:53,2023-07-16 15:24:48,405.4,376.3,0.0,118.70163979440218,0.20964426877470352,29.099999999999966,29.099999999999966,103.91666666666667,16.801924619085785,24.88197214411822,24515.246841073786,26607.78888115968
3,1204000480,EXNP-2204,low_movement,4,2023-07-16 15:25:48,2023-07-16 15:30:18,361.8,401.3,0.0,82.95330865599183,1.0,-39.5,-39.5,4.5,-526.6666666666667,24.88197214411822,-47617.14829700992,26607.78888115968
4,1204000480,EXNP-2204,low_movement,3,2023-07-16 15:31:49,2023-07-16 15:34:18,409.4,397.3,0.0,103.66213413958472,1.0,12.099999999999966,12.099999999999966,2.4833333333333334,292.3489932885898,24.88197214411822,11672.536071567742,26607.78888115968
5,1204000480,EXNP-2204,low_movement,3,2023-07-16 15:35:49,2023-07-16 15:37:49,375.0,381.5,0.0,111.70077075659452,1.0,-6.5,-6.5,2.0000000000000004,-194.99999999999994,24.88197214411822,-5819.118306859362,26607.78888115968
6,1204000480,EXNP-2204,low_movement,3,2023-07-16 15:38:49,2023-07-16 15:41:19,364.4,376.3,0.0,88.11526414244791,1.0,-11.900000000000034,-11.900000000000034,2.5,-285.6000000000008,24.88197214411822,-13505.038106408429,26607.78888115968
7,1204000480,EXNP-2204,low_movement,8,2023-07-16 15:41:50,2023-07-16 15:51:20,367.1,420.2,0.0,115.12571116666282,1.0,-53.099999999999966,-53.099999999999966,9.5,-335.3684210526314,24.88197214411822,-46123.49358096842,26607.78888115968
8,1204000480,EXNP-2204,low_movement,28,2023-07-16 15:52:51,2023-07-16 16:37:45,365.7,324.3,1007.3,80.17449063352439,0.8107719928186715,41.39999999999998,1048.6999999999998,44.9,55.32293986636968,24.88197214411822,51637.37202801618,26607.78888115968
9,1204000480,EXNP-2204,low_movement,9,2023-07-16 16:39:14,2023-07-16 16:55:04,351.3,1295.8,0.0,75.03354372950517,0.7641963426371511,-944.5,-944.5,15.833333333333336,-3579.1578947368416,24.88197214411822,-1258770.3486388817,26607.78888115968
10,1204000480,EXNP-2204,low_movement,175,2023-07-16 16:56:34,2023-07-16 22:44:58,1291.6,1072.9,0.0,145.08350035115654,0.6579022577879394,218.69999999999982,218.69999999999982,348.4,37.663605051664724,24.88197214411822,150740.77994442076,26607.78888115968
11,1204000480,EXNP-2204,low_movement,226,2023-07-16 22:46:28,2023-07-17 04:25:07,1159.4,755.2,0.0,92.88182833129967,0.8796119359106278,404.20000000000005,404.20000000000005,338.65,71.61376051971062,24.88197214411822,435176.61878732766,26607.78888115968
12,1204000480,EXNP-2204,low_movement,86,2023-07-17 04:26:07,2023-07-17 09:33:29,733.7,670.2,0.0,101.21981503772523,0.3334774618960113,63.5,63.5,307.3666666666667,12.395618696453747,24.88197214411822,62734.75206048656,26607.78888115968
13,1204000480,EXNP-2204,low_movement,3,2023-07-17 09:35:00,2023-07-17 09:37:30,695.9,682.4,0.0,109.66860445194956,1.0,13.5,13.5,2.5,324.0,24.88197214411822,12309.812883517561,26607.78888115968
14,1204000480,EXNP-2204,low_movement,4,2023-07-17 09:39:00,2023-07-17 09:43:01,679.7,667.5,0.0,97.31160717793414,1.0,12.200000000000045,12.200000000000045,4.0166666666666675,182.24066390041557,24.88197214411822,12537.045018373155,26607.78888115968
15,1204000480,EXNP-2204,low_movement,3,2023-07-17 09:44:00,2023-07-17 09:47:01,652.7,634.2,0.0,69.52851318321831,1.0,18.5,18.5,3.0166666666666666,367.9558011049724,24.88197214411822,26607.78888115968,26607.78888115968
16,1204000480,EXNP-2204,low_movement,129,2023-07-17 09:49:02,2023-07-17 12:45:43,647.3,450.0,0.0,124.4110666085613,0.9949636261891439,197.29999999999995,197.29999999999995,176.68333333333334,67.0012262994057,24.88197214411822,158587.1782779353,26607.78888115968
17,1204000480,EXNP-2204,low_movement,58,2023-07-17 12:46:44,2023-07-17 14:44:26,359.2,377.6,0.0,102.15739047100632,0.6140671065562262,-18.400000000000034,-18.400000000000034,117.7,-9.379779099405285,24.88197214411822,-18011.42327066607,26607.78888115968
18,1204000480,EXNP-2204,low_movement,58,2023-07-17 14:45:56,2023-07-17 16:05:06,373.6,327.0,0.0,99.70983614153063,1.0,46.60000000000002,46.60000000000002,79.16666666666667,35.31789473684212,24.88197214411822,46735.60984881654,26607.78888115968
19,1204000480,EXNP-2204,low_movement,34,2023-07-17 16:07:05,2023-07-17 16:57:03,327.0,1297.2,1104.4,103.14883513456444,0.8742380494064806,-970.2,134.20000000000005,49.96666666666667,-1165.01667778519,24.88197214411822,-940582.6044805163,26607.78888115968
20,1204000480,EXNP-2204,low_movement,53,2023-07-17 16:58:03,2023-07-17 18:29:12,1283.3,1213.5,0.0,101.02111490333945,0.6427925483812624,69.79999999999995,69.79999999999995,91.15,45.94624245748762,24.88197214411822,69094.46610917633,26607.78888115968
